eng,deu,eng_google,deu_google
The fact that there is no negotiated text as an outcome of the Forum should be seen as a strength rather than as a weakness of the process.,"Die Tatsache, dass zum Abschluss des Forums kein ausgehandelter Text als Ergebnis vorlag, sollte eher als Stärke denn als Schwäche des Prozesses gesehen werden.",The fact that no negotiated text was available at the end of the Forum should be seen as a strength rather than a weakness of the process.,"Die Tatsache, dass als Ergebnis des Forums kein ausgehandelter Text vorliegt, sollte eher als Stärke denn als Schwäche des Prozesses betrachtet werden."
"Moreover, we have acknowledged experience and expertise in certain areas.",Zudem verfügen wir anerkanntermaßen über Erfahrung und Sachkenntnis in bestimmten Bereichen.,We also have recognized experience and expertise in certain areas.,Darüber hinaus verfügen wir über anerkannte Erfahrung und Fachkenntnisse in bestimmten Bereichen.
Non-democratic models cannot truly challenge democracy.,Nicht-demokratische Modelle können die Demokratie nicht wirklich gefährden.,Non-democratic models cannot really threaten democracy.,Nichtdemokratische Modelle können die Demokratie nicht wirklich in Frage stellen.
The issue most talked about nowadays in this connection is that of climate change.,"Das Thema, über das in diesem Zusammenhang momentan am meisten gesprochen wird, ist der Klimawandel.",The topic that is currently being talked about most in this context is climate change.,"Das Thema, über das in diesem Zusammenhang derzeit am meisten gesprochen wird, ist der Klimawandel."
I said that we need concrete actions and not just repetitions of wish-lists and words.,"Ich sagte, wir bräuchten konkrete Maßnahmen und nicht nur Wiederholungen der Wunschlisten und Worte.","I said we need concrete measures, not just repetitions of wish lists and words.","Ich sagte, dass wir konkrete Taten brauchen und nicht nur die Wiederholung von Wunschlisten und Worten."
"After completing its evaluations, the Council concluded that both Member States provide sufficient guarantees to take the first step towards joining the Schengen area.","Nach Fertigstellung der Bewertungen kam der Rat zu dem Schluss, dass beide Mitgliedstaaten genügend Garantien bieten, um den ersten Schritt für den Beitritt zum Schengen-Gebiet zu unternehmen.","After completing the assessments, the Council concluded that both Member States offer sufficient guarantees to take the first step towards accession to the Schengen area.","Nach Abschluss seiner Bewertungen kam der Rat zu dem Schluss, dass beide Mitgliedstaaten ausreichende Garantien bieten, um den ersten Schritt in Richtung Beitritt zum Schengen-Raum zu unternehmen."
Across Europe there are potentially many thousands of consumers who have suffered severe injuries as a result of this toxic chemical.,In ganz Europa haben möglicherweise viele Tausende Verbraucher unter schweren Schäden als Reaktion auf diesen giftigen Stoff gelitten.,"Across Europe, many thousands of consumers may have suffered serious harm in response to this toxic substance.","In ganz Europa gibt es möglicherweise viele Tausend Verbraucher, die durch diese giftige Chemikalie schwere Verletzungen erlitten haben."
"At Implenia, complex, interdisciplinary projects are also in good hands.","Auch komplexe, interdisziplinäre Projekte sind bei uns in den richtigen Händen.","Even complex, interdisciplinary projects are in the right hands with us.","Auch komplexe, interdisziplinäre Projekte sind bei Implenia in guten Händen."
This applies to all Member States and it also applies in other respects.,"Das gilt für alle Mitgliedsländer, übrigens auch in anderen Zusammenhängen.","This applies to all member states, and also in other contexts.",Dies gilt für alle Mitgliedstaaten und auch in anderer Hinsicht.
The deliberations of Parliament at this part-session will mark another stage in the preparations for economic and monetary union.,Die Beschlüsse des Parlaments im Verlauf dieser Sitzung sind eine weitere Stufe in den Vorbereitungen der Wirtschafts- und Währungsunion.,The decisions taken by Parliament during this session represent a further step in the preparations for Economic and Monetary Union.,Die Beratungen des Parlaments in dieser Plenarsitzung markieren eine weitere Etappe bei den Vorbereitungen auf die Wirtschafts- und Währungsunion.
The amount of the Group’s deferred tax assets’ allowances is based upon management’s estimate of the level of deferred tax assets that will be realised in the foreseeable future.,Wertberichtigungen auf aktive latente Steuern basieren auf einer Einschätzung des Managements über den Grad der zukünftigen Realisierbarkeit.,Valuation allowances for deferred tax assets are based on management&#39;s assessment of the degree of future realization.,"Die Höhe der Wertberichtigungen für latente Steueransprüche des Konzerns basiert auf der Einschätzung des Managements hinsichtlich der Höhe der latenten Steueransprüche, die in absehbarer Zukunft realisiert werden."
Europe 2020 is not about one level acting at the expense of the other.,Bei Europa 2020 geht es nicht um ein Handeln auf einer Ebene auf Kosten der anderen.,Europe 2020 is not about acting at one level at the expense of others.,"Bei Europa 2020 geht es nicht darum, dass eine Ebene auf Kosten der anderen handelt."
"With great sound assured and a variety of different features, choosing the right stylish headset solution is up to the individual.","Es bietet darüber hinaus auch Bluetooth, Unterstützung für Standard Push-E-Mail und Bildbearbeitung.","It also offers Bluetooth, support for standard push email and image editing.","Da ein großartiger Klang und eine Vielzahl unterschiedlicher Funktionen garantiert sind, bleibt die Wahl der richtigen, stylischen Headset-Lösung jedem selbst überlassen."
The European Union must organise the return of illegal immigrants in a way that maintains the strictest respect for human rights and human dignity.,Die Rückführung der illegalen Einwanderer muss von der Europäischen Union unter strikter Achtung der Menschenrechte und der Menschenwürde durchgeführt werden.,The return of illegal immigrants must be carried out by the European Union with strict respect for human rights and human dignity.,"Die Europäische Union muss die Rückführung illegaler Einwanderer so organisieren, dass die Menschenrechte und die Menschenwürde streng gewahrt bleiben."
"We could take this as an indication that the European public sphere is being gradually built, where citizens can expect their voices to be increasingly heard by the institutions.","Wir können dies als Zeichen dafür werten, dass in Europa nach und nach eine europäische Öffentlichkeit entsteht, so dass die Bürger davon ausgehen können, dass ihre Stimme von den Institutionen immer besser wahrgenommen wird.","We can interpret this as a sign that a European public sphere is gradually emerging in Europe, so that citizens can be confident that their voices are being increasingly heard by the institutions.","Wir könnten dies als Hinweis darauf werten, dass sich allmählich ein europäischer öffentlicher Raum herausbildet, in dem die Bürger erwarten können, dass ihre Stimme von den Institutionen zunehmend gehört wird."
"Before China began opening its economy in 1978, all newspapers and magazines were “Party newspapers” and “Party magazines.”","Bevor China seine Wirtschaft im Jahr 1978 öffnete, waren alle Zeitungen und Zeitschriften „Parteizeitungen“ und „Parteizeitschriften“.","Before China opened its economy in 1978, all newspapers and magazines were “party newspapers” and “party magazines.”","Bevor China 1978 mit der Öffnung seiner Wirtschaft begann, waren alle Zeitungen und Zeitschriften „Parteizeitungen“ und „Parteimagazine“."
"You decorated all your proposals with words like ‘we must, ‘we have to’ and ‘we need to’, and, in itself, everything you said is true, but at no point did you tell us how and why you plan to reach these targets, and you never told us how they would be prioritised.","An sich stimmt alles, was Sie gesagt haben, doch Sie haben nicht ein einziges Mal gesagt, wie und warum Sie diese Ziele zu erreichen gedenken. Und Sie haben uns auch nicht dargelegt, welche Prioritäten sie setzen wollen.","In principle, everything you&#39;ve said is correct, but you haven&#39;t said a single word about how and why you intend to achieve these goals. Nor have you explained to us what priorities you intend to set.","Sie haben alle Ihre Vorschläge mit Worten wie „wir müssen“, „wir müssen“ und „wir brauchen“ geschmückt, und an sich ist alles, was Sie gesagt haben, wahr, aber Sie haben uns zu keinem Zeitpunkt gesagt, wie und warum Sie diese Ziele erreichen wollen, und Sie haben uns nie gesagt, welche Prioritäten dabei gesetzt werden."
"You will understand that, given the discretion required of the President-in-Office of the Council, I am not going to publicly reveal the precise positions adopted by the various States and which countries did not agree with the idea of separating development assistance from commercial interests.","Sie werden verstehen, dass ich aus Gründen der Diskretion, zu der mich meine Funktion als amtierender Ratspräsident verpflichtet, hier nicht öffentlich darlegen werde, welche Positionen die Länder einnahmen und welche Länder nicht damit einverstanden waren, die Entwicklungshilfe von den kommerziellen Interessen abzukoppeln.","You will understand that, for reasons of discretion, which my role as President-in-Office of the Council requires, I will not publicly disclose here the positions taken by the countries and which countries did not agree to decouple development aid from commercial interests.","Sie werden verstehen, dass ich angesichts der vom amtierenden Ratspräsidenten geforderten Diskretion die genauen Positionen der einzelnen Staaten nicht öffentlich bekannt geben werde und auch nicht offenlegen werde, welche Länder mit der Idee, die Entwicklungshilfe von kommerziellen Interessen zu trennen, nicht einverstanden waren."
"There, too, consumer policy is concerned, since it is up to consumers, in other words each one of us, to rationalise our use of detergents.","Auch hier kommen wir wieder in den Bereich der Verbraucherpolitik, da es Aufgabe der Verbraucher und somit von uns allen ist, die Verwendung von Detergenzien einzuschränken.","Here, too, we come back to the area of consumer policy, since it is the responsibility of consumers and therefore of all of us to limit the use of detergents.","Auch hier geht es um die Verbraucherpolitik, denn es liegt an den Verbrauchern, also an jedem Einzelnen von uns, den Reinigungsmittelverbrauch zu rationalisieren."
"To that one must add the intolerable and inhumane crime of women being forced, without their knowledge, into being sterilised, something that formed part of a birth control programme in Eastern Europe in Communist times, and what is particularly outrageous is that this sort of thing was still going on in recent years.","Hinzu kommt ein untragbares menschenverachtendes Verbrechen, wenn Frauen gegen ihr Wissen und gegen ihre Einwilligung zwangssterilisiert wurden, wie es in der kommunistischen Zeit in Osteuropa Teil eines Programms zur Geburtenkontrolle war. Besonders empörend ist es, dass so etwas auch noch in den letzten Jahren passiert ist.","In addition, it was an intolerable, inhumane crime when women were forcibly sterilized against their knowledge and consent, as was part of a birth control program during the communist era in Eastern Europe. It is particularly outrageous that such a thing has continued to happen in recent years.","Hinzu kommt das unerträgliche und unmenschliche Verbrechen der Zwangssterilisation von Frauen ohne ihr Wissen. Diese war in Osteuropa zu kommunistischen Zeiten Teil eines Geburtenkontrollprogramms. Besonders empörend ist, dass derartige Vorfälle in den letzten Jahren immer noch vorkamen."
It is for precisely this reason that it is so important that the European Parliament will shortly be giving its blessing to a legislative package that will help to ensure that the electricity market functions more effectively.,"Aus eben diesem Grund ist es so wichtig, dass das Europäische Parlament bald ein Legislativpaket absegnen wird, mit dessen Hilfe wir ein effizienteres Funktionieren des Strommarktes sicherstellen können.",This is precisely why it is so important that the European Parliament soon approves a legislative package that will help us ensure a more efficient functioning of the electricity market.,"Gerade deshalb ist es so wichtig, dass das Europäische Parlament in Kürze einem Gesetzespaket seine Zustimmung geben wird, das zu einem effizienteren Funktionieren des Strommarktes beitragen soll."
"In its Communication entitled 'The demographic future of Europe - from challenge to opportunity' of 12 October of last year, the European Commission notes that Europe has never in its history experienced economic growth without population growth.","Die Europäische Kommission stellt in ihrer Mitteilung ""Die demographische Zukunft Europas - von der Herausforderung zur Chance"" vom 12. Oktober letzten Jahres fest, dass es in der Geschichte Europas noch nie Wirtschaftswachstum ohne Bevölkerungswachstum gegeben hat.","In its communication &quot;The demographic future of Europe - from challenge to opportunity&quot; of 12 October last year, the European Commission states that in Europe&#39;s history there has never been economic growth without population growth.","In ihrer Mitteilung „Die demografische Zukunft Europas – Von der Herausforderung zur Chance“ vom 12. Oktober letzten Jahres stellt die Europäische Kommission fest, dass es in Europa in seiner Geschichte noch nie ein Wirtschaftswachstum ohne Bevölkerungswachstum gegeben habe."
The literacy rate of Portuguese population is 93%.,Die Analphabetenrate beträgt 7% der portugiesischen Bevölkerung.,The illiteracy rate is 7% of the Portuguese population.,Die Alphabetisierungsrate der portugiesischen Bevölkerung beträgt 93 %.
"After the first exciting day in gaucho manner, you will camp at the swamp shore – there is no way to feel closer to nature than waking up with the animals early in the morning.","Nach dem ersten ereignisreichen Tag verbringen Sie die Nacht im Zelt, direkt am Ufer der Sümpfe – es gibt keine vollkommenere Möglichkeit, der Natur näher zu sein, als morgens mit den Tieren aufzuwachen.","After the first eventful day, you will spend the night in a tent, right on the banks of the swamps – there is no more perfect way to be closer to nature than waking up with the animals in the morning.","Nach dem ersten aufregenden Tag in Gaucho-Manier campen Sie am Sumpfufer – es gibt keine Möglichkeit, sich der Natur näher zu fühlen, als frühmorgens mit den Tieren aufzuwachen."
"The National Instruments 9205 is a C Series module, for use with NI CompactDAQ and CompactRIO chassis. The NI 9205 features 32 single-ended or 16 differential analog inputs, 16-bit resolution, and a maximum sampling rate of 250 kS/s.","Das Modul NI 9205 von National Instruments verfügt über 32 Single-ended- bzw. 16 differenzielle Analogeingänge, eine Auflösung von 16 bit sowie eine maximale Abtastrate von 250 kS/s.","The NI 9205 module from National Instruments has 32 single-ended or 16 differential analog inputs, a resolution of 16 bits and a maximum sampling rate of 250 kS/s.","Das Modul 9205 von National Instruments ist ein Modul der C-Serie für den Einsatz mit NI CompactDAQ- und CompactRIO-Chassis. Das NI 9205 verfügt über 32 unsymmetrische oder 16 differenzielle Analogeingänge, eine Auflösung von 16 Bit und eine maximale Abtastrate von 250 kS/s."
"However, the suffering was caused not only by the outbreak of foot-and-mouth disease, but also by the means of combating the disease imposed by EU regulations, namely the slaughter of all animals on infected farms and in a buffer zone around them.","Ursache dafür ist jedoch nicht allein der Ausbruch von MKS, sondern auch die durch die EU-Bestimmungen vorgeschriebene Art der Seuchenbekämpfung, d. h. das Töten aller Tiere eines infizierten Betriebes und in dessen Umkreis - eine Methode, die einzig darauf beruht, ferne Exportmärkte zu retten.","The reason for this, however, is not only the outbreak of FMD, but also the method of disease control prescribed by EU regulations, i.e. the killing of all animals on and around an infected farm - a method based solely on saving distant export markets.","Das Leid wurde jedoch nicht nur durch den Ausbruch der Maul- und Klauenseuche verursacht, sondern auch durch die durch die EU-Verordnung vorgeschriebenen Mittel zur Bekämpfung der Krankheit, nämlich die Schlachtung aller Tiere auf den infizierten Farmen und in einer Pufferzone um sie herum."
"Look up our FAQ, if you don´t find how resolve your doubts, write in for details to contact .","Schau in unserer Liste der am häufigsten gestellten Fragen nach. Wenn Du dadurch dein Problem nicht lösen kannst, schreibe uns in der Sektion contact .","Check out our list of frequently asked questions. If you still can&#39;t resolve your issue, please contact us in the contact section.","Schauen Sie in unseren FAQ nach. Wenn Sie dort keine Lösung für Ihre Fragen finden, schreiben Sie uns, um Kontaktdetails zu erhalten."
"If such a connection is not allowed, the application can be started, but cannot connect to the internet because of the security settings.","Ist diese Erlaubnis nicht gegeben, kann das Gerät zwar die Anwendung starten, erhält jedoch aufgrund der eingestellten Sicherheitsregel keine Verbindung ins Internet.","If this permission is not granted, the device can start the application, but cannot connect to the Internet due to the configured security rule.","Wenn eine solche Verbindung nicht zugelassen wird, kann die Anwendung zwar gestartet werden, kann aber aufgrund der Sicherheitseinstellungen keine Verbindung zum Internet herstellen."
We cannot introduce a fourth one.,Wir können hier keine vierte Voraussetzung einführen.,We cannot introduce a fourth condition here.,Wir können keinen vierten einführen.
Our commitment to growth and effectiveness is closely related to our goal of customer satisfaction.,Unser Einsatz für Wachstum und Effektivität ist eng verbunden mit dem Denken für Kundenzufriedenheit.,Our commitment to growth and effectiveness is closely linked to thinking about customer satisfaction.,Unser Engagement für Wachstum und Effektivität ist eng mit unserem Ziel der Kundenzufriedenheit verbunden.
"So I think we can say - to conclude, Mr President - that it is true that the crisis has clearly demonstrated the shortcomings of the European monetary union in the absence of economic union, something that is provided for in the treaties but does not exist in reality.","Herr Präsident, daher können wir meiner Meinung nach abschließend sagen, dass die Krise tatsächlich die Schwächen der Europäischen Währungsunion ohne eine Wirtschaftsunion, die in den Verträgen zwar vorgesehen ist, aber in der Realität nicht existiert, deutlich zutage gefördert hat.","Mr President, I therefore believe that we can conclude by saying that the crisis has indeed clearly highlighted the weaknesses of European Monetary Union without economic union, which, although provided for in the Treaties, does not exist in reality.","Ich denke, wir können abschließend sagen, Herr Präsident, dass die Krise die Mängel der Europäischen Währungsunion in Ermangelung einer Wirtschaftsunion deutlich aufgezeigt hat, die zwar in den Verträgen vorgesehen ist, in der Realität jedoch nicht existiert."
"And of course, we was developed the proposals in the light of past performance and lessons learnt.",Und natürlich haben wir die Vorschläge vor dem Hintergrund vergangener Ergebnisse und der daraus gezogenen Schlussfolgerungen entwickelt.,"And, of course, we have developed the proposals against the background of past results and the conclusions drawn from them.",Und natürlich haben wir die Vorschläge im Lichte der bisherigen Leistung und der gewonnenen Erkenntnisse entwickelt.
"As you are going to present your proposals on the CAP 'health check' to us in November, I would prefer to tell you now what I think, and say that I hope that in this 'health check' you will analyse whether the CAP is in line with the new requirements of the global market, because one of the principal causes of the restriction of European production has, I am convinced, been the lack of foresight by Community experts.","Da Sie uns Ihre Vorschläge zum ""Gesundheitscheck"" der GAP im November vorlegen werden, möchte ich Ihnen lieber jetzt sagen, was ich denke, wobei ich hoffe, dass Sie bei diesem ""Gesundheitscheck"" analysieren werden, ob die GAP den neuen Anforderungen des globalen Marktes entspricht, denn einer der Hauptgründe für die Einschränkung der europäischen Produktion ist, da bin ich überzeugt, die mangelnde Voraussicht der Experten der Gemeinschaft.","Since you will be presenting your proposals for the CAP health check in November, I would prefer to tell you now what I think. I hope that, during this health check, you will analyze whether the CAP meets the new requirements of the global market, because one of the main reasons for the restriction of European production is, I am convinced, the lack of foresight on the part of the Community&#39;s experts.","Da Sie uns im November Ihre Vorschläge zum „Gesundheitscheck“ der GAP vorlegen werden, möchte ich Ihnen lieber jetzt schon meine Meinung dazu mitteilen und meine Hoffnung zum Ausdruck bringen, dass Sie bei diesem „Gesundheitscheck“ analysieren werden, ob die GAP den neuen Anforderungen des Weltmarkts entspricht, denn eine der Hauptursachen für die Einschränkung der europäischen Produktion war meiner Überzeugung nach der Mangel an Weitsicht der Experten der Gemeinschaft."
...in Val Gardena (also: Gröden Valley) in the Dolomites of South Tyrol!,... im Grödner Tal in den Südtiroler Dolomiten!,... in the Val Gardena in the South Tyrolean Dolomites!,...im Grödnertal (auch: Grödental) in den Dolomiten Südtirols!
"But in this context, where we are referring to the ECMM, it is a nonsense.","Aber in dieser Ziffer, wo wir von ICMM sprechen, macht es keinen Sinn.","But in this paragraph, where we are talking about ICMM, it makes no sense.","Aber in diesem Kontext, in dem wir uns auf die ECMM beziehen, ist das Unsinn."
"This situation arises from the distribution of power in Europe: this European Union, which is dominated by the northern countries - and, what is more, the list of speakers this morning shows this very clearly - is somewhat indifferent towards the Mediterranean.",Diese Situation ergibt sich aus dem innereuropäischen Kräfteverhältnis: Das von den nördlichen Ländern dominierte Europa - was durch die Rednerliste heute Vormittag im Übrigens eindeutig bestätigt wird - interessiert sich kaum für die mediterrane Dimension.,"This situation arises from the balance of power within Europe: Europe, dominated by the northern countries – which is clearly confirmed by the list of speakers this morning – is hardly interested in the Mediterranean dimension.","Diese Situation ergibt sich aus der Machtverteilung in Europa: Diese Europäische Union, die von den nördlichen Ländern dominiert wird – und die Rednerliste von heute Morgen zeigt dies ganz deutlich – ist dem Mittelmeerraum gegenüber eher gleichgültig."
"TDIs are typically used in moderation and are in no way the straitjackets for which free-traders take them, or the weaponry of protectionists.",Die Handelsschutzinstrumente kommen normalerweise nur maßvoll zum Einsatz und stellen keinesfalls die von den Verfechtern des Freihandels gefürchteten Zwangsjacken oder das Rüstzeug der Protektionisten dar.,Trade defence instruments are normally used only moderately and do not represent the straitjackets feared by free trade advocates or the tools of protectionists.,"TDIs werden üblicherweise in Maßen eingesetzt und sind keineswegs die Zwangsjacken, für die sie von Freihändlern gehalten werden, oder die Waffen von Protektionisten."
An excellent location for visiting the old town of Split. Clean appartment which was very spacious with good cooking facillities and good parking.,Old Town Comfort is very comfortable accommodation in an outstanding location right in the centre of town.,Old Town Comfort is very comfortable accommodation in an outstanding location right in the center of town.,"Eine ausgezeichnete Lage für einen Besuch der Altstadt von Split. Sauberes, sehr geräumiges Apartment mit guten Kochmöglichkeiten und guten Parkmöglichkeiten."
We are distributing our products in more that 90 countries worldwide.,Götz Kinnhalter bestehen ausschliesslich aus den besten Materialien.,Götz chin rests are made exclusively from the best materials.,Wir vertreiben unsere Produkte in über 90 Ländern weltweit.
"   Mr President, I would simply like to say that I am occupying a seat on the committee chairmen’s bench to which I am not entitled, because I am no longer a committee chairman, while Mr Jean-Marie Cavada, who is the Chairman of the Committee on Civil Liberties, Justice and Home Affairs, is sitting up in the gods.","   – Herr Präsident, ich möchte lediglich sagen, dass ich auf der Bank der Ausschussvorsitzenden widerrechtlich einen Platz in Anspruch nehme, denn ich bin nicht mehr Vorsitzender des Ausschusses, während mein Kollege, Jean-Marie Cavada, der Vorsitzende des Ausschusses für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten, unter dem Dach residiert.","– Mr President, I would simply like to say that I am unlawfully occupying a place on the committee chairmen&#39;s bench, since I am no longer the chairman of the committee, while my colleague, Jean-Marie Cavada, the chairman of the Committee on Citizens&#39; Freedoms and Rights, Justice and Home Affairs, is in the attic.","Herr Präsident, ich möchte lediglich sagen, dass ich einen Sitz auf der Bank des Ausschussvorsitzenden einnehme, auf den ich keinen Anspruch habe, da ich nicht länger Ausschussvorsitzender bin, während Herr Jean-Marie Cavada, der Vorsitzende des Ausschusses für bürgerliche Freiheiten, Justiz und Inneres, oben auf dem Stuhl sitzt."
"We should not forget that in this field, most unfortunately, the question is not how to improve the current situation, but to avoid it becoming too very much worse.","Vergessen wir nicht, daß es in diesem Bereich leider nicht darum geht, die gegenwärtige Situation zu verbessern, sondern zu vermeiden, daß sie sich zu sehr verschlimmert.","Let us not forget that, unfortunately, the aim in this area is not to improve the current situation, but to prevent it from getting too worse.","Wir sollten nicht vergessen, dass es in diesem Bereich leider nicht darum geht, die aktuelle Situation zu verbessern, sondern vielmehr darum, eine noch viel größere Verschlechterung zu verhindern."
"The format is supported by many of the leading movie studios, including Sony Pictures Home Entertainment (SPHE) and LionsGate Pictures which will release Blu-ray content this month.","Der Albtraum eines jeden Fußballfans: Die favorisierte Mannschaft im Ballbesitz, kurz vor dem gegnerischen Strafraum, Schuss - und dann schwarze Mattscheibe.","Every football fan&#39;s nightmare: The favored team has possession of the ball, just outside the opponent&#39;s penalty area, a shot - and then a black screen.","Das Format wird von vielen führenden Filmstudios unterstützt, darunter Sony Pictures Home Entertainment (SPHE) und LionsGate Pictures, die diesen Monat Blu-ray-Inhalte veröffentlichen werden."
"An excellent meal with a superior bottle of wine in one of our restaurants will certainly prove to be a highlight of your holidays stay with us. What better way to make a perfect day complete than to enjoy the cosy atmosphere by the fireplace in our ""Chamanna"".","Ein ausgezeichnetes Essen mit einer guten Flasche Wein à la carte in unseren Restaurants ""La Posta Veglia"" und ""La Prüveda"", im Speisesaal oder gemütlich in der ""Chamanna"" wird für Sie eine bleibende Urlaubserinnerung sein.","An excellent meal with a fine bottle of wine à la carte in our restaurants &quot;La Posta Veglia&quot; and &quot;La Prüveda,&quot; in the dining room, or in the cozy &quot;Chamanna&quot; will be a lasting holiday memory for you.","Ein ausgezeichnetes Essen mit einer erlesenen Flasche Wein in einem unserer Restaurants wird sicherlich ein Höhepunkt Ihres Urlaubsaufenthaltes bei uns sein. Was gibt es Schöneres, als einen perfekten Tag in gemütlicher Atmosphäre am Kaminfeuer in unserer „Chamanna“ abzurunden?"
The risks are high.,Die Risiken sind hoch.,The risks are high.,Die Risiken sind hoch.
It is also a moving target.,Außerdem handelt es sich dabei um ein bewegliches Ziel.,"Furthermore, it is a moving target.",Es ist auch ein bewegliches Ziel.
Occasionally a bus driver might stop a bus away from the curb at a bus stop.,Taiwan bezeichnet sich als R.O.C./Taiwan – also als Chin. Republik Taiwan.,Taiwan calls itself ROC/Taiwan – the Chinese Republic of Taiwan.,Gelegentlich hält ein Busfahrer einen Bus an einer Bushaltestelle abseits des Bordsteins an.
